objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
naming01,An Unmarried Man.pdf,,,An Unmarried Man,,2024,,Fiction;short story,"Charlottesville, VA",38.03028567,-78.48105988,,,,image/jpeg,eng,Public domain,
naming02,Carrying-Over.pdf,,,Carrying-Over,,2024,,Fiction;short story,"Charlottesville, VA",,,,,,application/pdf,eng,,
naming03,codex_argenteus.jpg,,,codex_argenteus,,2024,,6th century facsimile; 1927 Upsala Sweden;,,,,,,,image/jpeg,eng,,
naming04,codex_leningradensis.jpg,,,codex_leningradensis,,2024,,AD 1008 facsimile;oldest Hebrew manuscript of the entire Old Testament,,,,,,,image/jpeg,eng,,
naming05,codex_vaticanus.jpg,,,codex_vaticanus,,2024,,Fiction;short story,,,,,,,image/jpeg,eng,,
naming06,Confession.pdf,,,Confession,,2024,,Fiction;short story,"Charlottesville, VA",38.03349789,-78.50592076,,,,application/pdf,eng,,
naming07,Creative response.pdf,,,Creative response,,2024,,Fiction;short story,"Charlottesville, VA",,,,,,application/pdf,eng,,
naming08,duende image.jpg,,,duende image,,2024,,mythological creature duende ,,,,,,,image/jpeg,eng,,
naming09,first_yoruba_bible.jpg,,,first_yoruba_bible,,2024,,,,,,,,,image/jpeg,eng,,
naming010,Fluffy.pdf,,,Fluffy,,2023,,Fiction;short story,,,,,,,application/pdf,eng,,
naming011,"Hello Mummy, Goodbye Mummy.pdf",,,"Hello Mummy, Goodbye Mummy",,2018,,Fiction;short story,"Lagos, Nigeria",6.450647217,3.405571523,,,,application/pdf,eng,,
naming012,hesychasm_image.jpg,,,hesychasm_image,,2024,,,,,,,,,image/jpeg,eng,,
naming013,In-between.pdf,,,In-between,,2024,,,"Charlottesville, VA",,,,,,application/pdf,eng,,
naming014,jack_gilbert_poem.jpg,,,jack_gilbert_poem,,2024,,,,,,,,,image/jpeg,eng,,
naming015,"Manifesto, of sorts.pdf",,,"Manifesto, of sorts",,2024,,,"Charlottesville, VA",,,,,,application/pdf,eng,,
naming016,"Naming, Renaming, and Invention in Literatures of Faith and the Supernatural.pdf",,,"Naming, Renaming, and Invention in Literatures of Faith and the Supernatural",,2024,,,"Charlottesville, VA",,,,,,application/pdf,eng,,
naming017,Noora.pdf,,,Noora,,2018,,,"Lagos, Nigeria",,,,,,application/pdf,eng,,
naming018,postcolonial theory image.png,,,postcolonial theory image,,2024,,,,,,,,,image/jpeg,eng,,
naming019,Purple Lights.pdf,,,Purple Lights,,2024,,,"Charlottesville, VA",,,,,,image/jpeg,eng,,
naming020,Sonnet for the one that stays.pdf,,,Sonnet for the one that stays,,2021,,,,,,,,,application/pdf,eng,,
naming021,Syllabus (1).pdf,,,Syllabus,,2024,,,,,,,,,application/pdf,eng,,
naming022,tetragrammaton.jpg,,,tetragrammaton,,2024,,,,,,,,,image/jpeg,eng,,
naming023,The Grandchild.pdf,,,The Grandchild,,2018,,,,,,,,,application/pdf,eng,,
naming024,The Look of Things.pdf,,,The Look of Things,,2024,,,"Charlottesville, VA",,,,,,application/pdf,eng,,
naming025,translation in a postcolonial context book cover.jpeg,,,translation in a postcolonial context book cover,,2024,,,,,,,,,image/jpeg,eng,,
naming026,ursula_le_guin_quote.jpg,,,ursula_le_guin_quote,,2024,,,,,,,,,image/jpeg,eng,,
naming027,william_tynsdale_new_testament.jpg,,,william_tynsdale_new_testament,,2024,,,,,,,,,image/jpeg,eng,,
naming028,X.pdf,,,X,,,,,,,,,,,,,,
